name,latitude,longitude
Delhi,28.6100,77.2300
Mumbai,19.0761,72.8775
Kolkata,22.5675,88.3700
Bangalore,12.9789,77.5917
Chennai,13.0825,80.2750
Hyderabad,17.3850,78.4867
Pune,18.5203,73.8567
Ahmedabad,23.0300,72.5800
Surat,21.1702,72.8311
Prayagraj,25.4358,81.8464
Lucknow,26.8500,80.9500
Jaipur,26.9000,75.8000
Cawnpore,26.4499,80.3319
Mirzapur,25.1460,82.5690
Nagpur,21.1497,79.0806
Ghaziabad,28.6700,77.4200
Vadodara,22.3000,73.2000
Vishakhapatnam,17.7042,83.2978
Indore,22.7167,75.8472
Thane,19.1972,72.9722
Bhopal,23.2500,77.4167
Chinchvad,18.6186,73.8037
Patna,25.6000,85.1000
Bilaspur,22.0900,82.1500
Ludhiana,30.9100,75.8500
Agwar,27.1800,78.0200
Agra,27.1800,78.0200
Madurai,9.9252,78.1198
Jamshedpur,22.7925,86.1842